Date,series,OPEN,HIGH,LOW,CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
08-May-23,EQ,684.7,690.65,678.6,683.9,685.9,685.1,684.86,987.85,395.1,"3,671,007","2,514,114,384.20","58,366"
05-May-23,EQ,682.8,693.6,677.5,679.75,683.1,683.9,684.47,987.85,395.1,"5,193,692","3,554,950,230.95","65,110"
04-May-23,EQ,670,682,667.7,669.65,680.15,679.75,674.08,987.85,395.1,"5,124,811","3,454,517,851.20","87,207"
03-May-23,EQ,675,684.85,656.75,681.5,668,669.65,673.54,987.85,395.1,"5,645,727","3,802,602,342.35","82,651"
02-May-23,EQ,683.8,685.9,672.6,681.3,681,681.5,679.76,987.85,395.1,"5,563,089","3,781,577,392.65","99,001"
28-Apr-23,EQ,666.2,683,662.15,659.75,681,681.3,675.79,987.85,395.1,"6,162,262","4,164,399,869.45","101,274"
27-Apr-23,EQ,667.9,668.2,657.2,664.7,659.55,659.75,661.6,987.85,395.1,"3,197,568","2,115,515,512.55","60,707"
26-Apr-23,EQ,671,671.6,662.1,671.45,664.2,664.7,665.91,987.85,395.1,"3,373,385","2,246,355,325.65","58,117"
25-Apr-23,EQ,675,682.5,668.85,671.3,670.8,671.45,675.95,987.85,395.1,"4,814,190","3,254,149,313.35","75,479"
24-Apr-23,EQ,665.1,672.75,656,661.6,670,671.3,665.29,987.85,395.1,"3,357,178","2,233,503,712.30","67,207"
21-Apr-23,EQ,668,670.6,658.65,666.1,661,661.6,663.01,987.85,395.1,"1,982,614","1,314,495,344.20","37,088"
20-Apr-23,EQ,663,678.5,661.2,658.4,668,666.1,669.29,987.85,395.1,"5,009,410","3,352,732,718.15","85,777"
19-Apr-23,EQ,659,665,654.9,658.55,656.65,658.4,660.05,987.85,395.1,"2,683,546","1,771,268,573.90","43,183"
18-Apr-23,EQ,668,671.4,651.05,664.7,657,658.55,661.46,987.85,395.1,"2,964,854","1,961,127,938.15","48,428"
17-Apr-23,EQ,663,666.7,658,661.65,664.75,664.7,663.04,987.85,395.1,"2,731,225","1,810,907,709.20","46,245"
13-Apr-23,EQ,659.7,664.9,653.4,657.75,661.1,661.65,659.14,987.85,395.1,"3,306,659","2,179,552,856.25","53,943"
12-Apr-23,EQ,656,662,650,653.95,657.6,657.75,656.19,987.85,395.1,"4,271,203","2,802,731,244.85","62,552"
11-Apr-23,EQ,655,660.25,647.4,652,654.5,653.95,653.76,987.85,395.1,"3,798,770","2,483,466,684.15","61,067"
10-Apr-23,EQ,646,657,643,641.6,652.25,652,651.37,987.85,395.1,"4,254,629","2,771,358,299.10","65,451"
06-Apr-23,EQ,637,651.35,631.55,636.75,641.65,641.6,642.85,987.85,395.1,"7,094,042","4,560,371,616.55","104,969"
05-Apr-23,EQ,626.9,639.8,625.05,627.8,635.95,636.75,633.92,987.85,395.1,"6,622,367","4,198,045,123.60","102,619"
03-Apr-23,EQ,638.55,639,622.15,631.9,629.15,627.8,626.98,987.85,395.1,"6,072,184","3,807,119,230.45","83,672"
31-Mar-23,EQ,643.9,655.4,627.35,636.65,631.95,631.9,638.68,987.85,395.1,"9,466,910","6,046,330,917.50","134,957"
29-Mar-23,EQ,593.35,642.55,590.1,593.4,636.05,636.65,621.97,987.85,395.1,"17,057,169","10,609,060,670.35","213,230"
28-Mar-23,EQ,622.6,627.8,571.55,629.1,596.5,593.4,594.06,987.85,395.1,"19,860,622","11,798,499,775.05","255,631"
27-Mar-23,EQ,638,644.85,625.5,638,626.85,629.1,632.85,987.85,395.1,"5,621,870","3,557,807,063.85","84,603"
24-Mar-23,EQ,658.2,660.65,633.95,654.95,637.35,638,648.45,987.85,395.1,"6,072,701","3,937,843,869.50","100,225"
23-Mar-23,EQ,655,667.35,652.05,657.15,653.5,654.95,659.65,987.85,395.1,"4,491,324","2,962,684,412.30","79,446"
22-Mar-23,EQ,669.9,671.9,654.15,664.8,655.85,657.15,662.03,987.85,395.1,"4,457,720","2,951,154,355.60","78,562"
21-Mar-23,EQ,671.5,674.4,661.2,666.75,665.5,664.8,667.25,987.85,395.1,"5,011,027","3,343,588,448.65","81,539"
20-Mar-23,EQ,671,677.75,659.3,680.35,667,666.75,666.12,987.85,395.1,"5,250,369","3,497,372,890.40","94,806"
17-Mar-23,EQ,688.5,691.75,671.3,679.6,681,680.35,678.95,987.85,395.1,"7,625,895","5,177,623,559.80","108,111"
16-Mar-23,EQ,686.9,692.35,675.15,679.35,679.9,679.6,681.8,987.85,395.1,"12,992,236","8,858,116,734.10","164,713"
15-Mar-23,EQ,661.55,687.85,657.25,654.5,681.95,679.35,673.55,987.85,395.1,"15,514,873","10,450,083,211.30","226,984"
14-Mar-23,EQ,681.2,684.55,638.6,681.2,653.5,654.5,658.36,987.85,395.1,"18,147,337","11,947,420,019.50","253,304"
13-Mar-23,EQ,703.7,710.55,677.15,697.8,679,681.2,692.33,987.85,395.1,"9,693,337","6,710,958,455.30","152,319"
10-Mar-23,EQ,684.8,701.75,680.65,697.25,699,697.8,693.22,987.85,395.1,"12,138,642","8,414,705,007.30","177,666"
09-Mar-23,EQ,713.9,716.6,686,712.05,696.1,697.25,699.41,987.85,395.1,"17,041,388","11,918,998,798.70","291,915"
08-Mar-23,EQ,700,715,682,690.75,711.9,712.05,701.66,987.85,395.1,"20,232,587","14,196,424,034.35","326,843"
06-Mar-23,EQ,690,722.75,681.1,684.65,688,690.75,701.08,987.85,395.1,"37,435,406","26,245,289,711.90","584,481"
06-Mar-23,EQ,690,722.75,681.1,684.65,688,690.75,701.08,987.85,395.1,"37,435,406","26,245,289,711.90","584,481"
03-Mar-23,EQ,663,704,650.55,622.9,683.7,684.65,673.52,987.85,395.1,"42,832,968","28,848,901,481.90","530,895"
02-Mar-23,EQ,603.95,625,585.6,602.1,620.5,622.9,610.83,987.85,395.1,"21,080,489","12,876,661,541.30","285,079"
01-Mar-23,EQ,598,616,594.6,592.45,601.7,602.1,605.56,987.85,395.1,"18,661,166","11,300,528,142.95","265,676"
28-Feb-23,EQ,563,614.45,551.95,562,590.7,592.45,587.83,987.85,395.1,"25,360,275","14,907,510,722.95","337,506"
27-Feb-23,EQ,559,571.95,553.1,558.9,562.3,562,561.8,987.85,395.1,"8,484,384","4,766,492,331.95","129,400"
24-Feb-23,EQ,557,565.9,543.2,551.85,559.8,558.9,554.34,987.85,395.1,"8,631,548","4,784,824,964.15","128,775"
23-Feb-23,EQ,539.5,558.15,533.65,547.1,553.6,551.85,547.75,987.85,395.1,"10,711,597","5,867,321,506.50","158,032"
22-Feb-23,EQ,583.5,583.55,540,583.2,540.95,547.1,558.86,987.85,395.1,"10,994,235","6,144,270,357.10","193,991"
21-Feb-23,EQ,585,593.8,579.2,579.7,584,583.2,586.7,987.85,395.1,"7,702,230","4,518,874,075.30","130,920"
20-Feb-23,EQ,567.3,581.65,560,578.65,580.05,579.7,572.14,987.85,395.1,"9,507,162","5,439,403,085.25","132,994"
17-Feb-23,EQ,579,586,569.1,577.2,577.55,578.65,577.4,987.85,395.1,"8,880,620","5,127,640,800.95","129,313"
16-Feb-23,EQ,580,590.8,573.3,569.05,578,577.2,581.17,987.85,395.1,"9,909,820","5,759,329,408.30","165,208"
15-Feb-23,EQ,567.8,578.85,561.9,565.1,569.35,569.05,569.76,987.85,395.1,"9,259,895","5,275,958,368.20","154,159"
14-Feb-23,EQ,551,581.25,538.3,553.7,564,565.1,560.09,987.85,395.1,"17,976,429","10,068,397,405.85","323,360"
13-Feb-23,EQ,587.9,596.1,537.4,583.95,552.5,553.7,562.14,987.85,395.1,"19,528,545","10,977,691,210.70","344,169"
10-Feb-23,EQ,573.6,599.9,560,582.3,584,583.95,587.7,987.85,395.1,"12,527,188","7,362,202,641.70","235,173"
09-Feb-23,EQ,587.25,589,546.2,599.25,581.65,582.3,573.99,987.85,395.1,"22,494,005","12,911,401,145.05","398,039"
08-Feb-23,EQ,564,605,563,553.15,603,599.25,591.14,987.85,395.1,"31,111,885","18,391,424,759.75","563,228"
07-Feb-23,EQ,550,598.45,543,545.45,555.95,553.15,573.14,987.85,395.1,"46,650,736","26,737,421,509.05","686,386"
06-Feb-23,EQ,498,548.7,476.7,498.85,541.9,545.45,520.79,987.85,395.1,"38,363,919","19,979,628,063.90","529,063"
03-Feb-23,EQ,459,507,395.1,462.45,488.4,498.85,447.54,987.85,395.1,"89,662,866","40,127,998,245.25","1,070,832"
02-Feb-23,EQ,510,534,424.05,495.15,459.5,462.45,465.01,987.85,424.05,"115,517,458","53,716,569,907.80","1,298,246"
01-Feb-23,EQ,627,629,459.5,612.65,504,495.15,544.61,987.85,459.5,"46,557,720","25,355,871,628.45","594,888"
31-Jan-23,EQ,600,626.9,588.1,597,613.3,612.65,609.5,987.85,537,"33,272,489","20,279,491,479.95","454,898"
30-Jan-23,EQ,620,656.6,566.95,596.95,600.8,597,604.66,987.85,537,"58,256,575","35,225,436,328.70","835,679"
27-Jan-23,EQ,699,699.85,537,713.15,604.5,596.95,616.1,987.85,537,"64,194,046","39,550,168,575.85","816,215"
25-Jan-23,EQ,753,756.9,706,761.2,714.55,713.15,720.06,987.85,651.95,"17,085,455","12,302,598,593.70","317,405"
24-Jan-23,EQ,769.15,774,758,769.05,759,761.2,766.71,987.85,651.95,"3,011,438","2,308,911,115.65","73,048"
23-Jan-23,EQ,778.35,778.35,762.4,774.45,767.75,769.05,769.2,987.85,651.95,"4,283,589","3,294,917,118.70","85,286"
20-Jan-23,EQ,776,786.6,772.45,776.05,772.95,774.45,779.81,987.85,651.95,"3,328,697","2,595,759,065.85","53,255"
19-Jan-23,EQ,783.95,783.95,771.75,786.5,773,776.05,777.06,987.85,651.95,"5,086,667","3,952,623,668.50","66,003"
18-Jan-23,EQ,784,795.85,776.6,784.75,782.4,786.5,787.59,987.85,651.95,"5,585,785","4,399,315,370.90","81,950"
17-Jan-23,EQ,788.35,791.45,778.1,787.05,784,784.75,785.54,987.85,651.95,"2,948,618","2,316,263,979.60","66,214"
16-Jan-23,EQ,797,797.5,784.4,794.65,788.35,787.05,788.82,987.85,651.95,"3,601,251","2,840,732,127.75","63,605"
13-Jan-23,EQ,795.6,800.25,786,792.95,793,794.65,793.78,987.85,651.95,"4,059,998","3,222,740,713.65","59,898"
12-Jan-23,EQ,796.7,799.45,786.1,796.45,795,792.95,793.2,987.85,651.95,"2,670,641","2,118,343,950.50","61,573"
11-Jan-23,EQ,800,803.1,789.05,796.4,794,796.45,796.74,987.85,651.95,"3,618,663","2,883,146,888.90","65,665"
10-Jan-23,EQ,817,820.65,781.1,816.65,795,796.4,798.76,987.85,651.95,"4,545,808","3,631,027,753.20","96,236"
09-Jan-23,EQ,810.45,820.25,809.1,806.1,817,816.65,815.39,987.85,651.95,"2,040,072","1,663,450,226.60","43,195"
06-Jan-23,EQ,819.9,824.4,803.5,819.6,805.8,806.1,811.46,987.85,651.95,"2,892,006","2,346,747,212.05","77,774"
05-Jan-23,EQ,814.05,821.6,797,810,818.25,819.6,812.2,987.85,651.95,"3,119,740","2,533,859,956.55","65,560"
04-Jan-23,EQ,820.8,822,806.5,820.45,807,810,814.04,987.85,651.95,"3,260,112","2,653,851,029.15","54,470"
03-Jan-23,EQ,822.25,826.4,817.8,822.3,818,820.45,821.76,987.85,651.95,"2,166,531","1,780,376,177.45","37,159"
02-Jan-23,EQ,823,826.75,816.3,818.1,822,822.3,822.02,987.85,651.95,"2,042,294","1,678,797,212.40","38,026"
